CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
Andhra Pradesh Circle,Visakhapatnam Region,Visakhapatnam Division,Palavalasa B.O,530052,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.89,83.34
Andhra Pradesh Circle,Visakhapatnam Region,Visakhapatnam Division,Ramavaram B.O,531173,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.86,83.24
Andhra Pradesh Circle,Visakhapatnam Region,Visakhapatnam Division,Bhandevupuram B.O,531219,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.99,83.29
Andhra Pradesh Circle,Visakhapatnam Region,Visakhapatnam Division,Mutcherla B.O,531173,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.9,83.29
Andhra Pradesh Circle,Visakhapatnam Region,Visakhapatnam Division,Kanamam B.O,531173,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.87,83.26
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Golugonda BO,531084,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Addasaram BO,531114,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,A Kothapalle B.O,531022,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.2355680,82.4048420
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Anandapuram B.O,531022,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.9577770,83.0528640
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Dosalapadu BO,531126,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Nallagonda BO,531084,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Mushidipalli B.O,531022,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.9404120,83.0190040
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,K.J.Puram B.O,531022,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.9241000,83.0643260
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Bondam B.O,531149,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,18.3084283,82.9906250
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Burja B.O,531149,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,18.2164592,82.9045210
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Chompi B.O,531149,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,18.3155716,82.8686933
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Koruvada B.O,531022,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.9317460,83.0803840
